All are total faces.
Top: 10585 	 Side: 146 	 Total: 10731 	 n-gon: 294
Top: 10731 	 Side: 147 	 Total: 10878 	 n-gon: 296
Top: 10878 	 Side: 148 	 Total: 11026 	 n-gon: 298
Top: 11026 	 Side: 149 	 Total: 11175 	 n-gon: 300



Top: 11175 	 Side: 150 	 Total: 11325 	 n-gon: 302
Top: 11325 	 Side: 151 	 Total: 11476 	 n-gon: 304
Top: 11476 	 Side: 152 	 Total: 11628 	 n-gon: 306
Top: 11628 	 Side: 153 	 Total: 11781 	 n-gon: 308
Top: 11781 	 Side: 154 	 Total: 11935 	 n-gon: 310
Top: 11935 	 Side: 155 	 Total: 12090 	 n-gon: 312
Top: 12090 	 Side: 156 	 Total: 12246 	 n-gon: 314
Top: 12246 	 Side: 157 	 Total: 12403 	 n-gon: 316
Top: 12403 	 Side: 158 	 Total: 12561 	 n-gon: 318
Top: 12561 	 Side: 159 	 Total: 12720 	 n-gon: 320
Top: 12720 	 Side: 160 	 Total: 12880 	 n-gon: 322
Top: 12880 	 Side: 161 	 Total: 13041 	 n-gon: 324
Top: 13041 	 Side: 162 	 Total: 13203 	 n-gon: 326
Top: 13203 	 Side: 163 	 Total: 13366 	 n-gon: 328
Top: 13366 	 Side: 164 	 Total: 13530 	 n-gon: 330
Top: 13530 	 Side: 165 	 Total: 13695 	 n-gon: 332
Top: 13695 	 Side: 166 	 Total: 13861 	 n-gon: 334
Top: 13861 	 Side: 167 	 Total: 14028 	 n-gon: 336
Top: 14028 	 Side: 168 	 Total: 14196 	 n-gon: 338
Top: 14196 	 Side: 169 	 Total: 14365 	 n-gon: 340
Top: 14365 	 Side: 170 	 Total: 14535 	 n-gon: 342
Top: 14535 	 Side: 171 	 Total: 14706 	 n-gon: 344
Top: 14706 	 Side: 172 	 Total: 14878 	 n-gon: 346
Top: 14878 	 Side: 173 	 Total: 15051 	 n-gon: 348
Top: 15051 	 Side: 174 	 Total: 15225 	 n-gon: 350
Top: 15225 	 Side: 175 	 Total: 15400 	 n-gon: 352
Top: 15400 	 Side: 176 	 Total: 15576 	 n-gon: 354
Top: 15576 	 Side: 177 	 Total: 15753 	 n-gon: 356
Top: 15753 	 Side: 178 	 Total: 15931 	 n-gon: 358
Top: 15931 	 Side: 179 	 Total: 16110 	 n-gon: 360
Top: 16110 	 Side: 180 	 Total: 16290 	 n-gon: 362
Top: 16290 	 Side: 181 	 Total: 16471 	 n-gon: 364
Top: 16471 	 Side: 182 	 Total: 16653 	 n-gon: 366
Top: 16653 	 Side: 183 	 Total: 16836 	 n-gon: 368
Top: 16836 	 Side: 184 	 Total: 17020 	 n-gon: 370
Top: 17020 	 Side: 185 	 Total: 17205 	 n-gon: 372
Top: 17205 	 Side: 186 	 Total: 17391 	 n-gon: 374
Top: 17391 	 Side: 187 	 Total: 17578 	 n-gon: 376
Top: 17578 	 Side: 188 	 Total: 17766 	 n-gon: 378
Top: 17766 	 Side: 189 	 Total: 17955 	 n-gon: 380
Top: 17955 	 Side: 190 	 Total: 18145 	 n-gon: 382
Top: 18145 	 Side: 191 	 Total: 18336 	 n-gon: 384
Top: 18336 	 Side: 192 	 Total: 18528 	 n-gon: 386
Top: 18528 	 Side: 193 	 Total: 18721 	 n-gon: 388
Top: 18721 	 Side: 194 	 Total: 18915 	 n-gon: 390
Top: 18915 	 Side: 195 	 Total: 19110 	 n-gon: 392
Top: 19110 	 Side: 196 	 Total: 19306 	 n-gon: 394
Top: 19306 	 Side: 197 	 Total: 19503 	 n-gon: 396
Top: 19503 	 Side: 198 	 Total: 19701 	 n-gon: 398
Top: 19701 	 Side: 199 	 Total: 19900 	 n-gon: 400


Top: 19900 	 Side: 200 	 Total: 20100 	 n-gon: 402
Top: 20100 	 Side: 201 	 Total: 20301 	 n-gon: 404
Top: 20301 	 Side: 202 	 Total: 20503 	 n-gon: 406
Top: 20503 	 Side: 203 	 Total: 20706 	 n-gon: 408
Top: 20706 	 Side: 204 	 Total: 20910 	 n-gon: 410
Top: 20910 	 Side: 205 	 Total: 21115 	 n-gon: 412
Top: 21115 	 Side: 206 	 Total: 21321 	 n-gon: 414
Top: 21321 	 Side: 207 	 Total: 21528 	 n-gon: 416
Top: 21528 	 Side: 208 	 Total: 21736 	 n-gon: 418
Top: 21736 	 Side: 209 	 Total: 21945 	 n-gon: 420
